V1,date
714.9684046,7/1/2015
705.2297407,7/2/2015
676.8772308,7/3/2015
621.1451448,7/4/2015
722.0761848,7/5/2015
794.8324796,7/6/2015
770.8142557,7/7/2015
782.0776406,7/8/2015
752.9399903,7/9/2015
701.7025934,7/10/2015
649.1529627,7/11/2015
770.1194263,7/12/2015
840.3052785,7/13/2015
799.7188764,7/14/2015
746.4223325,7/15/2015
739.2823637,7/16/2015
760.8859654,7/17/2015
895.2721195,7/18/2015
845.2215992,7/19/2015
774.5204615,7/20/2015
722.3078665,7/21/2015
736.9085566,7/22/2015
715.8588451,7/23/2015
678.8968027,7/24/2015
674.8569041,7/25/2015
705.361514,7/26/2015
755.1711328,7/27/2015
749.1605111,7/28/2015
747.2445139,7/29/2015
714.2386909,7/30/2015
668.9796733,7/31/2015
655.1914595,8/1/2015
677.7435704,8/2/2015
704.7315469,8/3/2015
746.4061573,8/4/2015
714.708093,8/5/2015
719.7785626,8/6/2015
734.3654499,8/7/2015
663.9508276,8/8/2015
740.6506713,8/9/2015
707.8466059,8/10/2015
732.9527147,8/11/2015
737.7111662,8/12/2015
752.0450747,8/13/2015
716.479862,8/14/2015
676.7175824,8/15/2015
811.0174691,8/16/2015
796.6561708,8/17/2015
781.6186984,8/18/2015
744.3440988,8/19/2015
748.6393487,8/20/2015
704.4795385,8/21/2015
617.12746,8/22/2015
746.5714132,8/23/2015
791.1760932,8/24/2015
823.4829352,8/25/2015
751.5998814,8/26/2015
766.4020057,8/27/2015
751.2841969,8/28/2015
653.6834528,8/29/2015
768.123524,8/30/2015
772.1099908,8/31/2015
797.2101688,9/1/2015
798.1207203,9/2/2015
829.9365935,9/3/2015
764.3659891,9/4/2015
732.8838087,9/5/2015
821.1764167,9/6/2015
835.9280746,9/7/2015
803.2422494,9/8/2015
778.7023777,9/9/2015
769.3115329,9/10/2015
805.1846121,9/11/2015
699.730145,9/12/2015
820.9847415,9/13/2015
847.654715,9/14/2015
798.4238421,9/15/2015
787.3443144,9/16/2015
791.7681027,9/17/2015
771.879711,9/18/2015
751.2819863,9/19/2015
863.1070793,9/20/2015
840.224295,9/21/2015
825.80757,9/22/2015
835.2131342,9/23/2015
825.3010729,9/24/2015
800.3177333,9/25/2015
717.047447,9/26/2015
794.0739742,9/27/2015
835.7479377,9/28/2015
803.5738394,9/29/2015
785.6524505,9/30/2015
764.5204076,10/1/2015
740.7318704,10/2/2015
805.137812,10/3/2015
836.7883755,10/4/2015
838.8261174,10/5/2015
811.6121206,10/6/2015
821.9659244,10/7/2015
801.6412897,10/8/2015
791.0458834,10/9/2015
747.5912547,10/10/2015
848.2287162,10/11/2015
826.3623227,10/12/2015
829.1418019,10/13/2015
827.7015151,10/14/2015
824.3235025,10/15/2015
768.8798728,10/16/2015
730.8264949,10/17/2015
831.3367121,10/18/2015
842.8474147,10/19/2015
845.2521702,10/20/2015
841.2552434,10/21/2015
833.8397045,10/22/2015
796.255513,10/23/2015
737.7699898,10/24/2015
840.33159,10/25/2015
852.1041678,10/26/2015
819.7024856,10/27/2015
808.0894484,10/28/2015
810.7863266,10/29/2015
785.4693481,10/30/2015
757.5857012,10/31/2015
879.7781312,11/1/2015
862.4203914,11/2/2015
833.3473338,11/3/2015
863.6454952,11/4/2015
838.1770637,11/5/2015
802.1794899,11/6/2015
794.5205694,11/7/2015
949.5134523,11/8/2015
946.8111824,11/9/2015
963.2747075,11/10/2015
920.509732,11/11/2015
872.8186769,11/12/2015
842.8930824,11/13/2015
834.9988138,11/14/2015
1054.489567,11/15/2015
1008.224619,11/16/2015
965.4822882,11/17/2015
989.0819,11/18/2015
977.7218957,11/19/2015
883.3501375,11/20/2015
917.3414029,11/21/2015
1033.269963,11/22/2015
976.3401628,11/23/2015
901.4352186,11/24/2015
887.0450208,11/25/2015
864.7807193,11/26/2015
836.1425567,11/27/2015
807.1505904,11/28/2015
966.8115598,11/29/2015
920.9165364,11/30/2015
871.1133337,12/1/2015
873.2557826,12/2/2015
982.4498841,12/3/2015
1062.02313,12/4/2015
994.9659783,12/5/2015
1129.884186,12/6/2015
1259.710681,12/7/2015
918.3796301,12/8/2015
870.7995902,12/9/2015
863.7954925,12/10/2015
807.208066,12/11/2015
794.5805791,12/12/2015
903.9056451,12/13/2015
986.1949641,12/14/2015
888.5047177,12/15/2015
889.46552,12/16/2015
883.156683,12/17/2015
817.8818677,12/18/2015
812.8892004,12/19/2015
944.9385885,12/20/2015
891.6110961,12/21/2015
819.8665013,12/22/2015
781.1517766,12/23/2015
743.1949641,12/24/2015
876.5082224,12/25/2015
951.0143959,12/26/2015
976.0634065,12/27/2015
898.7023238,12/28/2015
920.6757966,12/29/2015
867.174907,12/30/2015
807.4405564,12/31/2015
991.0215129,1/1/2016
1008.255513,1/2/2016
1062.565968,1/3/2016
1086.947107,1/4/2016
999.7117054,1/5/2016
1034.231035,1/6/2016
1010.61789,1/7/2016
1001.063245,1/8/2016
990.0463687,1/9/2016
1117.67736,1/10/2016
1216.684154,1/11/2016
1061.792258,1/12/2016
1020.606405,1/13/2016
1068.223648,1/14/2016
1102.471936,1/15/2016
1027.221869,1/16/2016
