V1,date
3513.862203,7/1/2015
3502.511407,7/2/2015
3325.357889,7/3/2015
3462.054256,7/4/2015
3575.520035,7/5/2015
3849.736021,7/6/2015
3643.523063,7/7/2015
3437.87108,7/8/2015
3517.459391,7/9/2015
3497.571594,7/10/2015
3517.054297,7/11/2015
3869.211216,7/12/2015
3832.417662,7/13/2015
3854.165298,7/14/2015
3563.026589,7/15/2015
3605.074747,7/16/2015
3455.528829,7/17/2015
3335.306288,7/18/2015
3540.557533,7/19/2015
3720.901319,7/20/2015
3544.275386,7/21/2015
3488.537249,7/22/2015
3435.995645,7/23/2015
3340.325991,7/24/2015
3346.974988,7/25/2015
3585.658246,7/26/2015
3643.563216,7/27/2015
3589.972955,7/28/2015
4189.383649,7/29/2015
3283.13593,7/30/2015
3175.764394,7/31/2015
3181.30633,8/1/2015
3462.76879,8/2/2015
3267.47142,8/3/2015
3522.243861,8/4/2015
3527.101419,8/5/2015
3533.813464,8/6/2015
3599.890783,8/7/2015
3434.24805,8/8/2015
3580.401029,8/9/2015
3513.810685,8/10/2015
3508.693504,8/11/2015
3520.86183,8/12/2015
3472.513979,8/13/2015
3437.64518,8/14/2015
3436.148664,8/15/2015
3666.110586,8/16/2015
3714.781276,8/17/2015
3585.069396,8/18/2015
3442.963249,8/19/2015
3450.416501,8/20/2015
3382.392111,8/21/2015
3340.002406,8/22/2015
3700.59192,8/23/2015
3681.515306,8/24/2015
3494.014269,8/25/2015
3332.366393,8/26/2015
3330.276091,8/27/2015
3230.231666,8/28/2015
3320.014186,8/29/2015
3499.792517,8/30/2015
3793.064253,8/31/2015
3397.030488,9/1/2015
3410.346897,9/2/2015
3349.463498,9/3/2015
3293.23934,9/4/2015
3384.751908,9/5/2015
3574.027045,9/6/2015
3798.533972,9/7/2015
3643.806662,9/8/2015
3544.514601,9/9/2015
3451.838518,9/10/2015
3576.919653,9/11/2015
3503.259209,9/12/2015
3899.006886,9/13/2015
3718.389954,9/14/2015
3575.228845,9/15/2015
3468.916501,9/16/2015
3602.907417,9/17/2015
3428.192882,9/18/2015
3366.077734,9/19/2015
3761.624399,9/20/2015
3918.050025,9/21/2015
3657.091505,9/22/2015
3750.097851,9/23/2015
3469.879584,9/24/2015
3397.022938,9/25/2015
3361.641364,9/26/2015
3597.854405,9/27/2015
3747.79372,9/28/2015
3482.857682,9/29/2015
3611.671644,9/30/2015
3483.033889,10/1/2015
3477.976108,10/2/2015
3558.812884,10/3/2015
3921.680355,10/4/2015
3828.704123,10/5/2015
3582.734362,10/6/2015
3655.726398,10/7/2015
3662.943587,10/8/2015
3747.053385,10/9/2015
3818.594906,10/10/2015
4005.615397,10/11/2015
4098.324,10/12/2015
4058.150116,10/13/2015
4216.426332,10/14/2015
3937.78447,10/15/2015
3423.181185,10/16/2015
3499.122573,10/17/2015
3780.789406,10/18/2015
3959.63452,10/19/2015
3982.400738,10/20/2015
3963.756015,10/21/2015
3868.052555,10/22/2015
3702.562967,10/23/2015
3617.942841,10/24/2015
3976.037083,10/25/2015
4033.232661,10/26/2015
4048.723453,10/27/2015
3950.368965,10/28/2015
3765.093496,10/29/2015
3616.65107,10/30/2015
3523.633897,10/31/2015
3681.410611,11/1/2015
4072.817695,11/2/2015
3915.250332,11/3/2015
3821.432595,11/4/2015
3902.806828,11/5/2015
3609.785631,11/6/2015
3503.13929,11/7/2015
3824.209681,11/8/2015
3978.861208,11/9/2015
3815.627966,11/10/2015
3777.373984,11/11/2015
3718.822217,11/12/2015
3510.077982,11/13/2015
3602.052928,11/14/2015
3992.346109,11/15/2015
4075.531027,11/16/2015
3888.341132,11/17/2015
3786.409491,11/18/2015
3749.587896,11/19/2015
3664.715157,11/20/2015
3875.784968,11/21/2015
4108.116932,11/22/2015
4186.675668,11/23/2015
3964.155674,11/24/2015
3916.709972,11/25/2015
3764.307367,11/26/2015
3743.950846,11/27/2015
3934.121536,11/28/2015
4073.883815,11/29/2015
4281.235855,11/30/2015
3992.796458,12/1/2015
3786.947777,12/2/2015
3813.834412,12/3/2015
3660.940642,12/4/2015
3610.721545,12/5/2015
3888.4092,12/6/2015
4257.035963,12/7/2015
4042.944292,12/8/2015
3893.425377,12/9/2015
3733.777086,12/10/2015
3763.262983,12/11/2015
3588.473785,12/12/2015
4003.833541,12/13/2015
4102.636469,12/14/2015
3834.643977,12/15/2015
3831.49328,12/16/2015
3812.064792,12/17/2015
3808.499253,12/18/2015
3738.232703,12/19/2015
3940.012734,12/20/2015
4146.167081,12/21/2015
3918.252945,12/22/2015
3903.964618,12/23/2015
3706.768625,12/24/2015
3677.500622,12/25/2015
4127.238178,12/26/2015
4206.072092,12/27/2015
4229.87585,12/28/2015
4155.485731,12/29/2015
3963.691679,12/30/2015
3725.824747,12/31/2015
4153.015721,1/1/2016
4471.4703,1/2/2016
4602.928945,1/3/2016
4655.947154,1/4/2016
4207.557491,1/5/2016
4229.854322,1/6/2016
4196.470425,1/7/2016
4112.523395,1/8/2016
4284.312593,1/9/2016
4496.007176,1/10/2016
6078.85005,1/11/2016
4888.099469,1/12/2016
4325.029492,1/13/2016
4752.443255,1/14/2016
4389.281442,1/15/2016
4298.127675,1/16/2016
4639.497719,1/17/2016
4734.595114,1/18/2016
4587.360337,1/19/2016
4332.960635,1/20/2016
4281.344616,1/21/2016
4376.82176,1/22/2016
4224.585988,1/23/2016
4565.779036,1/24/2016
4939.903393,1/25/2016
4457.512859,1/26/2016
4363.958105,1/27/2016
4100.326655,1/28/2016
4108.397337,1/29/2016
4146.367928,1/30/2016
4701.048034,1/31/2016
4932.149328,2/1/2016
4934.28335,2/2/2016
4609.53841,2/3/2016
4471.37921,2/4/2016
4558.060934,2/5/2016
4176.258752,2/6/2016
4768.783599,2/7/2016
5498.537788,2/8/2016
4547.71665,2/9/2016
4549.363821,2/10/2016
4066.186536,2/11/2016
4284.68301,2/12/2016
4305.016053,2/13/2016
4797.982537,2/14/2016
4822.500622,2/15/2016
5029.324374,2/16/2016
4611.177617,2/17/2016
4283.890949,2/18/2016
4207.824457,2/19/2016
4214.737971,2/20/2016
4595.965157,2/21/2016
4938.522358,2/22/2016
4488.392857,2/23/2016
4502.23121,2/24/2016
4545.320682,2/25/2016
4248.163182,2/26/2016
4199.88593,2/27/2016
4575.305749,2/28/2016
6031.576074,2/29/2016
4600.568359,3/1/2016
4530.709225,3/2/2016
4470.843745,3/3/2016
4398.775552,3/4/2016
4603.527335,3/5/2016
4999.018749,3/6/2016
4954.420815,3/7/2016
4494.107972,3/8/2016
4390.349137,3/9/2016
4056.241828,3/10/2016
4001.272026,3/11/2016
3830.989215,3/12/2016
3885.540236,3/13/2016
4260.687614,3/14/2016
3938.541812,3/15/2016
4170.827858,3/16/2016
3919.829061,3/17/2016
3636.904223,3/18/2016
3583.884561,3/19/2016
3803.037581,3/20/2016
3901.012444,3/21/2016
3732.723038,3/22/2016
3735.293969,3/23/2016
3692.165879,3/24/2016
3789.480007,3/25/2016
3755.706197,3/26/2016
4011.736104,3/27/2016
4222.543305,3/28/2016
4032.721794,3/29/2016
3797.719346,3/30/2016
3673.428986,3/31/2016
3644.173055,4/1/2016
4301.17069,4/2/2016
4708.296499,4/3/2016
4903.049652,4/4/2016
4643.919985,4/5/2016
4722.586693,4/6/2016
4055.353036,4/7/2016
3898.879003,4/8/2016
4000.372532,4/9/2016
4230.447445,4/10/2016
4294.540567,4/11/2016
4070.672018,4/12/2016
4034.08968,4/13/2016
3885.351916,4/14/2016
3775.981334,4/15/2016
3672.928157,4/16/2016
3948.246308,4/17/2016
4214.800647,4/18/2016
4155.636013,4/19/2016
4172.748922,4/20/2016
4719.980007,4/21/2016
4484.203791,4/22/2016
4068.595238,4/23/2016
4394.686204,4/24/2016
4466.363572,4/25/2016
4101.328314,4/26/2016
4027.939066,4/27/2016
4016.167289,4/28/2016
3819.97731,4/29/2016
3931.045047,4/30/2016
4109.806745,5/1/2016
4404.651444,5/2/2016
4266.747304,5/3/2016
4228.092003,5/4/2016
3964.709225,5/5/2016
3999.233367,5/6/2016
3950.728887,5/7/2016
4230.871993,5/8/2016
4306.995022,5/9/2016
4138.694749,5/10/2016
