V1,date
1085.972919,7/1/2015
1037.814557,7/2/2015
954.4126804,7/3/2015
896.0507499,7/4/2015
974.5082095,7/5/2015
1110.637145,7/6/2015
1082.568342,7/7/2015
1050.669557,7/8/2015
1030.841282,7/9/2015
937.1299311,7/10/2015
842.8086573,7/11/2015
960.2466416,7/12/2015
1089.365555,7/13/2015
1144.025801,7/14/2015
1081.183666,7/15/2015
1029.52207,7/16/2015
926.5453124,7/17/2015
806.1572251,7/18/2015
862.2973914,7/19/2015
1012.967588,7/20/2015
1003.396546,7/21/2015
1032.552705,7/22/2015
968.7881868,7/23/2015
860.5021679,7/24/2015
771.0791101,7/25/2015
850.3910015,7/26/2015
979.4249058,7/27/2015
972.1515388,7/28/2015
983.0614116,7/29/2015
935.0232426,7/30/2015
844.7517947,7/31/2015
737.7896794,8/1/2015
809.8633165,8/2/2015
834.6554837,8/3/2015
1012.466629,8/4/2015
1024.648234,8/5/2015
1025.459592,8/6/2015
911.1720094,8/7/2015
838.2813277,8/8/2015
916.5881015,8/9/2015
979.7622432,8/10/2015
1137.322127,8/11/2015
1143.997939,8/12/2015
1103.547587,8/13/2015
942.4460161,8/14/2015
816.306063,8/15/2015
887.9861397,8/16/2015
1095.091478,8/17/2015
1196.617457,8/18/2015
1205.011657,8/19/2015
1141.853579,8/20/2015
1042.529959,8/21/2015
887.0373161,8/22/2015
1034.570332,8/23/2015
1277.171583,8/24/2015
1482.512972,8/25/2015
1499.019049,8/26/2015
1454.366551,8/27/2015
1236.651432,8/28/2015
953.092686,8/29/2015
1152.965811,8/30/2015
1430.840429,8/31/2015
1508.696922,9/1/2015
1507.220698,9/2/2015
1462.384391,9/3/2015
1214.309261,9/4/2015
996.2509773,9/5/2015
1161.199588,9/6/2015
1470.489587,9/7/2015
1525.09034,9/8/2015
1504.753714,9/9/2015
1418.809724,9/10/2015
1206.105622,9/11/2015
968.0287867,9/12/2015
1110.371029,9/13/2015
1378.270097,9/14/2015
1322.54581,9/15/2015
1278.901983,9/16/2015
1453.525979,9/17/2015
1204.168171,9/18/2015
972.8120691,9/19/2015
1165.024522,9/20/2015
1449.418438,9/21/2015
1503.010591,9/22/2015
1504.621722,9/23/2015
1385.577937,9/24/2015
1136.164191,9/25/2015
986.6526406,9/26/2015
1167.834956,9/27/2015
1437.911436,9/28/2015
1504.292274,9/29/2015
1484.388301,9/30/2015
1401.70467,10/1/2015
1194.220058,10/2/2015
978.3137394,10/3/2015
1126.501599,10/4/2015
1373.988343,10/5/2015
1465.622574,10/6/2015
1457.455469,10/7/2015
1396.275926,10/8/2015
1217.413036,10/9/2015
1024.805317,10/10/2015
1171.111664,10/11/2015
1557.702111,10/12/2015
1616.566494,10/13/2015
1584.435639,10/14/2015
1495.729405,10/15/2015
1252.553913,10/16/2015
1063.375151,10/17/2015
1249.438908,10/18/2015
1482.986566,10/19/2015
1541.005615,10/20/2015
1549.191343,10/21/2015
1477.292842,10/22/2015
1242.325254,10/23/2015
1054.441467,10/24/2015
1212.122041,10/25/2015
1465.471391,10/26/2015
1553.538276,10/27/2015
1520.393987,10/28/2015
1393.290639,10/29/2015
1141.840714,10/30/2015
957.1929064,10/31/2015
1010.602673,11/1/2015
1295.515175,11/2/2015
1403.550217,11/3/2015
1491.139171,11/4/2015
1459.286872,11/5/2015
1237.167887,11/6/2015
1000.462009,11/7/2015
1180.411827,11/8/2015
1453.223399,11/9/2015
1513.954012,11/10/2015
1464.193688,11/11/2015
1406.72379,11/12/2015
1194.85564,11/13/2015
1029.550999,11/14/2015
1110.756557,11/15/2015
1347.896937,11/16/2015
1470.218708,11/17/2015
1549.031061,11/18/2015
1425.912716,11/19/2015
1167.603952,11/20/2015
983.8390077,11/21/2015
1163.581207,11/22/2015
1412.731253,11/23/2015
1533.613974,11/24/2015
1428.906887,11/25/2015
1297.437202,11/26/2015
1107.846755,11/27/2015
921.5052243,11/28/2015
1052.225176,11/29/2015
1220.963963,11/30/2015
1230.526619,12/1/2015
1218.595636,12/2/2015
1157.770915,12/3/2015
982.977326,12/4/2015
801.6254887,12/5/2015
888.9632525,12/6/2015
1082.253252,12/7/2015
1138.391997,12/8/2015
1126.52733,12/9/2015
1105.668136,12/10/2015
926.8658043,12/11/2015
820.5030919,12/12/2015
918.256095,12/13/2015
1059.594712,12/14/2015
994.3074135,12/15/2015
961.2701685,12/16/2015
917.5078541,12/17/2015
787.321487,12/18/2015
739.5389864,12/19/2015
799.0044069,12/20/2015
808.1112375,12/21/2015
762.452271,12/22/2015
711.4130358,12/23/2015
645.7709148,12/24/2015
636.8670126,12/25/2015
749.9784633,12/26/2015
762.1142228,12/27/2015
844.7010449,12/28/2015
856.1397399,12/29/2015
778.149833,12/30/2015
693.4187931,12/31/2015
686.8317578,1/1/2016
821.8454048,1/2/2016
845.4352122,1/3/2016
915.8331793,1/4/2016
1021.127941,1/5/2016
927.4916483,1/6/2016
965.4537636,1/7/2016
1052.475442,1/8/2016
1021.408558,1/9/2016
1119.405501,1/10/2016
1501.834317,1/11/2016
1397.806738,1/12/2016
1299.731751,1/13/2016
1300.681356,1/14/2016
1175.499325,1/15/2016
1028.874405,1/16/2016
1061.535788,1/17/2016
1246.262421,1/18/2016
1333.758405,1/19/2016
1321.248774,1/20/2016
1306.397896,1/21/2016
1223.201436,1/22/2016
1000.008956,1/23/2016
1127.583837,1/24/2016
1376.789608,1/25/2016
1457.245149,1/26/2016
1543.07975,1/27/2016
1382.206909,1/28/2016
1127.764447,1/29/2016
1036.766863,1/30/2016
1254.343521,1/31/2016
1283.26107,2/1/2016
1407.707513,2/2/2016
1487.922951,2/3/2016
1460.817045,2/4/2016
1226.131708,2/5/2016
1066.594925,2/6/2016
1180.83254,2/7/2016
1500.714265,2/8/2016
1497.023243,2/9/2016
1808.954652,2/10/2016
1539.853223,2/11/2016
1238.369323,2/12/2016
1102.628047,2/13/2016
1274.198735,2/14/2016
1435.872415,2/15/2016
1548.672471,2/16/2016
1622.467055,2/17/2016
1510.896723,2/18/2016
1261.334423,2/19/2016
1091.027863,2/20/2016
1271.138105,2/21/2016
1448.17272,2/22/2016
1517.019618,2/23/2016
1512.31708,2/24/2016
1418.159642,2/25/2016
1193.336627,2/26/2016
1076.724572,2/27/2016
1290.453053,2/28/2016
1805.460871,2/29/2016
1628.122041,3/1/2016
1620.699979,3/2/2016
1567.522354,3/3/2016
1407.438908,3/4/2016
1247.579928,3/5/2016
1401.369038,3/6/2016
1588.856209,3/7/2016
1682.077546,3/8/2016
1653.89189,3/9/2016
1497.432156,3/10/2016
1322.922667,3/11/2016
1077.221124,3/12/2016
1279.557396,3/13/2016
1490.213235,3/14/2016
1547.787902,3/15/2016
1585.501955,3/16/2016
1434.690525,3/17/2016
1189.291137,3/18/2016
994.2695998,3/19/2016
1091.014855,3/20/2016
1188.228588,3/21/2016
1192.805459,3/22/2016
1080.400171,3/23/2016
1074.25645,3/24/2016
1110.900775,3/25/2016
1134.507996,3/26/2016
1262.715403,3/27/2016
1483.537423,3/28/2016
1446.789182,3/29/2016
1475.62094,3/30/2016
1420.562869,3/31/2016
1216.115858,4/1/2016
1108.71789,4/2/2016
1293.645035,4/3/2016
1505.197811,4/4/2016
1537.30919,4/5/2016
1607.529604,4/6/2016
1516.36058,4/7/2016
1267.375649,4/8/2016
1051.560239,4/9/2016
1273.672685,4/10/2016
1561.340678,4/11/2016
1510.027507,4/12/2016
1514.910157,4/13/2016
1503.207264,4/14/2016
1246.271732,4/15/2016
1031.43571,4/16/2016
1250.122752,4/17/2016
1452.031346,4/18/2016
1529.156941,4/19/2016
1567.52733,4/20/2016
1550.928709,4/21/2016
1348.652783,4/22/2016
1130.687042,4/23/2016
1302.024948,4/24/2016
1429.261355,4/25/2016
1531.691591,4/26/2016
1454.239605,4/27/2016
1379.363779,4/28/2016
1157.980596,4/29/2016
1022.265833,4/30/2016
1226.311394,5/1/2016
1444.168171,5/2/2016
1522.080532,5/3/2016
1493.363139,5/4/2016
1434.554553,5/5/2016
1271.801336,5/6/2016
1048.175137,5/7/2016
1180.438269,5/8/2016
1427.471107,5/9/2016
1461.559883,5/10/2016
1475.89516,5/11/2016
1418.992395,5/12/2016
1168.343308,5/13/2016
1071.604592,5/14/2016
1214.897576,5/15/2016
1409.243727,5/16/2016
1544.558888,5/17/2016
1704.861113,5/18/2016
1425.277916,5/19/2016
1288.182031,5/20/2016
