V1,date
475.1509943,7/1/2015
478.2019998,7/2/2015
459.8376587,7/3/2015
491.5089316,7/4/2015
482.5577463,7/5/2015
502.7412089,7/6/2015
485.9453994,7/7/2015
476.9988204,7/8/2015
472.0619032,7/9/2015
445.4950567,7/10/2015
441.4922481,7/11/2015
504.1733513,7/12/2015
491.6433547,7/13/2015
527.2733401,7/14/2015
486.4859005,7/15/2015
475.7162117,7/16/2015
457.9279856,7/17/2015
463.5435906,7/18/2015
502.5548815,7/19/2015
490.0867318,7/20/2015
477.304067,7/21/2015
480.2955286,7/22/2015
452.4322548,7/23/2015
423.5619593,7/24/2015
424.4685429,7/25/2015
460.5622964,7/26/2015
446.4849455,7/27/2015
440.9654533,7/28/2015
447.2797438,7/29/2015
427.0179755,7/30/2015
401.1292551,7/31/2015
388.4746096,8/1/2015
396.4530952,8/2/2015
404.4114706,8/3/2015
486.0408381,8/4/2015
468.9660151,8/5/2015
477.7554769,8/6/2015
483.2782833,8/7/2015
488.3786091,8/8/2015
504.5781373,8/9/2015
463.9975845,8/10/2015
479.1442535,8/11/2015
476.7859791,8/12/2015
500.1022357,8/13/2015
502.0857769,8/14/2015
505.3418155,8/15/2015
510.4350635,8/16/2015
508.765532,8/17/2015
493.4157398,8/18/2015
467.692675,8/19/2015
440.2660937,8/20/2015
472.4472531,8/21/2015
467.5290979,8/22/2015
539.2912032,8/23/2015
539.166779,8/24/2015
531.6097068,8/25/2015
529.1342546,8/26/2015
522.135996,8/27/2015
495.744804,8/28/2015
495.7874958,8/29/2015
545.3182227,8/30/2015
539.930064,8/31/2015
528.7575553,9/1/2015
554.5364004,9/2/2015
542.1454331,9/3/2015
535.6233569,9/4/2015
576.5981912,9/5/2015
597.0249972,9/6/2015
574.6062802,9/7/2015
558.7536232,9/8/2015
574.6979553,9/9/2015
545.2332322,9/10/2015
527.8547354,9/11/2015
573.6503764,9/12/2015
663.5370745,9/13/2015
590.9862937,9/14/2015
570.3571509,9/15/2015
598.1409392,9/16/2015
584.9598921,9/17/2015
558.4805078,9/18/2015
538.1859903,9/19/2015
585.8723739,9/20/2015
581.6341984,9/21/2015
563.4668577,9/22/2015
568.7585103,9/23/2015
558.1495899,9/24/2015
544.8772048,9/25/2015
547.8141782,9/26/2015
733.0417369,9/27/2015
578.2384564,9/28/2015
560.4019211,9/29/2015
580.4597798,9/30/2015
569.0299405,10/1/2015
555.2842377,10/2/2015
563.3663072,10/3/2015
609.6404898,10/4/2015
596.5185372,10/5/2015
560.2078418,10/6/2015
587.3737221,10/7/2015
580.5390967,10/8/2015
554.206943,10/9/2015
583.0983036,10/10/2015
629.9234917,10/11/2015
596.9496124,10/12/2015
595.0519043,10/13/2015
601.9354005,10/14/2015
572.1412201,10/15/2015
556.6259971,10/16/2015
558.1520616,10/17/2015
597.32384,10/18/2015
596.6504325,10/19/2015
592.4647231,10/20/2015
584.190091,10/21/2015
576.2832828,10/22/2015
557.363667,10/23/2015
601.6995281,10/24/2015
613.9409055,10/25/2015
636.8176609,10/26/2015
594.3504101,10/27/2015
595.6355466,10/28/2015
591.7519942,10/29/2015
597.6203797,10/30/2015
620.0143804,10/31/2015
649.3072127,11/1/2015
616.745478,11/2/2015
592.0019661,11/3/2015
619.4256825,11/4/2015
589.5921807,11/5/2015
603.9098978,11/6/2015
666.5645995,11/7/2015
680.1175149,11/8/2015
617.212448,11/9/2015
600.2034603,11/10/2015
706.489327,11/11/2015
594.3388383,11/12/2015
605.238007,11/13/2015
705.5561735,11/14/2015
735.348781,11/15/2015
670.4453994,11/16/2015
865.0954387,11/17/2015
621.0803842,11/18/2015
606.7647455,11/19/2015
594.0416245,11/20/2015
661.6481294,11/21/2015
716.887316,11/22/2015
637.353612,11/23/2015
637.9543871,11/24/2015
639.336142,11/25/2015
624.4511853,11/26/2015
654.6109988,11/27/2015
647.3673745,11/28/2015
710.9597236,11/29/2015
663.2694641,11/30/2015
634.4379845,12/1/2015
649.9997753,12/2/2015
616.0759465,12/3/2015
609.0442647,12/4/2015
624.4192226,12/5/2015
688.419054,12/6/2015
673.3778227,12/7/2015
646.9055724,12/8/2015
641.8942254,12/9/2015
626.3022132,12/10/2015
610.6702618,12/11/2015
673.6017301,12/12/2015
730.492866,12/13/2015
669.0428042,12/14/2015
622.0695989,12/15/2015
644.1098191,12/16/2015
644.105887,12/17/2015
632.2746882,12/18/2015
651.4980339,12/19/2015
708.3342883,12/20/2015
674.8982699,12/21/2015
611.1488035,12/22/2015
627.4781485,12/23/2015
566.4645545,12/24/2015
592.446579,12/25/2015
634.1601505,12/26/2015
671.3190091,12/27/2015
664.5543759,12/28/2015
676.5633075,12/29/2015
659.2848556,12/30/2015
611.8063701,12/31/2015
715.9590495,1/1/2016
741.1329626,1/2/2016
848.685541,1/3/2016
779.136333,1/4/2016
751.8985507,1/5/2016
719.2469947,1/6/2016
684.8237838,1/7/2016
688.7521627,1/8/2016
755.9865745,1/9/2016
809.7843501,1/10/2016
883.1618919,1/11/2016
730.3019885,1/12/2016
727.5985283,1/13/2016
736.3684979,1/14/2016
709.6203236,1/15/2016
719.2101449,1/16/2016
757.2552522,1/17/2016
699.9875857,1/18/2016
719.6772835,1/19/2016
707.5975733,1/20/2016
677.3517021,1/21/2016
704.3953488,1/22/2016
743.551174,1/23/2016
747.6125154,1/24/2016
680.3467026,1/25/2016
668.0910572,1/26/2016
709.1240872,1/27/2016
695.3863611,1/28/2016
628.6532974,1/29/2016
658.4489945,1/30/2016
768.8827098,1/31/2016
706.804404,2/1/2016
707.4045051,2/2/2016
726.1620604,2/3/2016
664.6397034,2/4/2016
643.3255814,2/5/2016
645.7236827,2/6/2016
732.2188518,2/7/2016
740.5116841,2/8/2016
688.3283339,2/9/2016
700.148635,2/10/2016
707.803112,2/11/2016
699.2856982,2/12/2016
687.6730704,2/13/2016
736.6913268,2/14/2016
707.9368049,2/15/2016
672.9091675,2/16/2016
714.2095832,2/17/2016
752.9516908,2/18/2016
623.3905179,2/19/2016
676.3696776,2/20/2016
718.0704415,2/21/2016
719.8156387,2/22/2016
682.336142,2/23/2016
692.8519267,2/24/2016
687.7599708,2/25/2016
695.011347,2/26/2016
685.3601281,2/27/2016
746.5160656,2/28/2016
784.4139984,2/29/2016
702.7377823,3/1/2016
714.9845523,3/2/2016
671.3355803,3/3/2016
643.698517,3/4/2016
649.25323,3/5/2016
741.7813729,3/6/2016
702.5140995,3/7/2016
680.6031907,3/8/2016
751.6236378,3/9/2016
648.6693068,3/10/2016
641.757443,3/11/2016
606.3685541,3/12/2016
702.0569037,3/13/2016
685.3096843,3/14/2016
687.1892484,3/15/2016
702.9521964,3/16/2016
647.4356252,3/17/2016
624.3522638,3/18/2016
620.6805977,3/19/2016
721.3764746,3/20/2016
673.7644085,3/21/2016
621.5470734,3/22/2016
954.2796877,3/23/2016
682.1686327,3/24/2016
636.7777216,3/25/2016
607.6200427,3/26/2016
692.5316818,3/27/2016
752.2226716,3/28/2016
668.1909336,3/29/2016
710.7546343,3/30/2016
650.5921245,3/31/2016
602.9997191,4/1/2016
620.1384114,4/2/2016
669.1473992,4/3/2016
678.7206494,4/4/2016
675.3161443,4/5/2016
636.010673,4/6/2016
619.4898888,4/7/2016
599.7956971,4/8/2016
576.5128075,4/9/2016
638.7918211,4/10/2016
662.8627682,4/11/2016
644.8096281,4/12/2016
696.9554544,4/13/2016
877.9010785,4/14/2016
1017.934558,4/15/2016
981.3025503,4/16/2016
1086.713515,4/17/2016
1029.219582,4/18/2016
1057.097742,4/19/2016
1033.756825,4/20/2016
1097.483092,4/21/2016
1089.152005,4/22/2016
1071.164813,4/23/2016
1110.722503,4/24/2016
805.1664981,4/25/2016
673.5845411,4/26/2016
671.3964723,4/27/2016
656.6750365,4/28/2016
636.6851477,4/29/2016
633.8172677,4/30/2016
716.7945175,5/1/2016
658.5470172,5/2/2016
665.7910347,5/3/2016
715.1754859,5/4/2016
616.8961353,5/5/2016
612.5174138,5/6/2016
612.255196,5/7/2016
697.5052803,5/8/2016
737.6070666,5/9/2016
716.0700483,5/10/2016
717.5726323,5/11/2016
703.7232333,5/12/2016
673.4509606,5/13/2016
708.7967644,5/14/2016
706.0329176,5/15/2016
725.7939557,5/16/2016
655.192675,5/17/2016
665.73576,5/18/2016
646.4116953,5/19/2016
607.6598697,5/20/2016
642.2969891,5/21/2016
785.2443546,5/22/2016
713.5960004,5/23/2016
678.2779463,5/24/2016
663.7020559,5/25/2016
646.2615436,5/26/2016
626.4478149,5/27/2016
690.1342546,5/28/2016
744.4173688,5/29/2016
732.9325357,5/30/2016
687.8753511,5/31/2016
705.559263,6/1/2016
822.9239973,6/2/2016
628.6398158,6/3/2016
717.17616,6/4/2016
750.0416807,6/5/2016
653.0794293,6/6/2016
640.1758229,6/7/2016
684.7072239,6/8/2016
621.9612403,6/9/2016
688.1598135,6/10/2016
687.6663296,6/11/2016
733.7281204,6/12/2016
706.7712617,6/13/2016
700.1782384,6/14/2016
683.7294124,6/15/2016
