V1,date
580.6470559,7/1/2015
666.6728011,7/2/2015
602.2898047,7/3/2015
756.5091772,7/4/2015
725.7209143,7/5/2015
632.3991484,7/6/2015
615.1841809,7/7/2015
611.4623366,7/8/2015
596.0676423,7/9/2015
619.2993001,7/10/2015
639.5772111,7/11/2015
688.0810533,7/12/2015
612.6059909,7/13/2015
573.9095003,7/14/2015
575.1421369,7/15/2015
657.9548236,7/16/2015
787.6269395,7/17/2015
662.3126132,7/18/2015
649.4581763,7/19/2015
649.6207234,7/20/2015
567.6516079,7/21/2015
569.5717782,7/22/2015
541.1330821,7/23/2015
492.3381626,7/24/2015
479.8600656,7/25/2015
513.7852773,7/26/2015
496.5052616,7/27/2015
485.329793,7/28/2015
528.4871519,7/29/2015
476.8046106,7/30/2015
446.8483187,7/31/2015
433.754246,8/1/2015
483.8835593,8/2/2015
522.8007929,8/3/2015
604.1627429,8/4/2015
594.8176301,8/5/2015
623.9161079,8/6/2015
605.0802212,8/7/2015
621.0955411,8/8/2015
660.02413,8/9/2015
653.5279233,8/10/2015
622.911507,8/11/2015
666.9634869,8/12/2015
661.9190446,8/13/2015
694.2566198,8/14/2015
743.1807547,8/15/2015
741.1460526,8/16/2015
675.3545103,8/17/2015
637.5686457,8/18/2015
602.6930155,8/19/2015
543.3560766,8/20/2015
563.7060839,8/21/2015
751.4940042,8/22/2015
900.2445793,8/23/2015
710.0248642,8/24/2015
720.7517008,8/25/2015
638.9186041,8/26/2015
693.6202829,8/27/2015
705.6539083,8/28/2015
698.4135383,8/29/2015
737.5725124,8/30/2015
678.994616,8/31/2015
654.0054819,9/1/2015
619.7156282,9/2/2015
640.8663795,9/3/2015
618.0890314,9/4/2015
671.3373795,9/5/2015
723.6919387,9/6/2015
627.1566247,9/7/2015
613.6010474,9/8/2015
613.8796926,9/9/2015
579.1280407,9/10/2015
587.4105526,9/11/2015
617.5886643,9/12/2015
675.6930155,9/13/2015
614.341393,9/14/2015
560.4665949,9/15/2015
561.4122657,9/16/2015
600.6673193,9/17/2015
613.8329989,9/18/2015
646.0900103,9/19/2015
642.9120944,9/20/2015
770.6844012,9/21/2015
721.762273,9/22/2015
925.6370222,9/23/2015
648.299398,9/24/2015
687.4729578,9/25/2015
688.200137,9/26/2015
725.8126377,9/27/2015
821.3509862,9/28/2015
641.1220694,9/29/2015
626.1453184,9/30/2015
601.0481132,10/1/2015
599.9761637,10/2/2015
719.3999804,10/3/2015
740.6504821,10/4/2015
670.3408546,10/5/2015
643.4860751,10/6/2015
627.2551025,10/7/2015
658.4565122,10/8/2015
601.3804513,10/9/2015
667.1669032,10/10/2015
728.677353,10/11/2015
727.1731682,10/12/2015
614.2834908,10/13/2015
587.6186188,10/14/2015
583.9982869,10/15/2015
632.1621066,10/16/2015
679.6163673,10/17/2015
717.8374529,10/18/2015
638.0185013,10/19/2015
622.5866086,10/20/2015
650.4764329,10/21/2015
613.1920611,10/22/2015
655.4012041,10/23/2015
651.4671822,10/24/2015
675.5910137,10/25/2015
621.0407224,10/26/2015
635.3718369,10/27/2015
584.704175,10/28/2015
583.9558025,10/29/2015
672.8416622,10/30/2015
636.9048994,10/31/2015
666.890999,11/1/2015
780.2219666,11/2/2015
682.2002349,11/3/2015
579.5928736,11/4/2015
586.7225784,11/5/2015
654.1807547,11/6/2015
702.1974451,11/7/2015
746.2196172,11/8/2015
653.5176937,11/9/2015
613.5922862,11/10/2015
586.6038373,11/11/2015
596.2459008,11/12/2015
644.6734374,11/13/2015
685.2111987,11/14/2015
663.194851,11/15/2015
617.3303314,11/16/2015
613.7922275,11/17/2015
609.6611032,11/18/2015
598.5291958,11/19/2015
606.8020165,11/20/2015
638.4942,11/21/2015
676.3238216,11/22/2015
739.8594782,11/23/2015
743.6240027,11/24/2015
640.7251725,11/25/2015
576.0834516,11/26/2015
574.9370075,11/27/2015
632.0170819,11/28/2015
671.4400176,11/29/2015
605.3134942,11/30/2015
580.7894866,12/1/2015
718.385199,12/2/2015
617.1642112,12/3/2015
634.031276,12/4/2015
661.2606334,12/5/2015
715.2665068,12/6/2015
616.8128334,12/7/2015
595.3387989,12/8/2015
579.8749449,12/9/2015
599.3733053,12/10/2015
620.6486222,12/11/2015
716.6748079,12/12/2015
741.6111301,12/13/2015
648.5501933,12/14/2015
658.1187411,12/15/2015
643.4043365,12/16/2015
614.4254319,12/17/2015
735.7550291,12/18/2015
687.7125936,12/19/2015
731.381577,12/20/2015
649.7665802,12/21/2015
625.5551368,12/22/2015
782.0304439,12/23/2015
701.1901033,12/24/2015
868.2567177,12/25/2015
1135.289168,12/26/2015
789.9503206,12/27/2015
805.6101023,12/28/2015
744.0022515,12/29/2015
760.5460819,12/30/2015
1130.690764,12/31/2015
847.5320836,1/1/2016
967.0028388,1/2/2016
924.5716803,1/3/2016
840.4535754,1/4/2016
858.2992022,1/5/2016
859.289511,1/6/2016
851.390485,1/7/2016
893.7040771,1/8/2016
866.160883,1/9/2016
1133.770447,1/10/2016
1440.066761,1/11/2016
1037.822916,1/12/2016
889.6885126,1/13/2016
847.7492536,1/14/2016
898.8877686,1/15/2016
908.8134208,1/16/2016
966.6493564,1/17/2016
940.067006,1/18/2016
922.1562332,1/19/2016
804.066125,1/20/2016
851.6388821,1/21/2016
930.3089912,1/22/2016
901.6439724,1/23/2016
975.6565024,1/24/2016
824.4080074,1/25/2016
786.2982722,1/26/2016
773.6518036,1/27/2016
735.3399736,1/28/2016
895.6485243,1/29/2016
903.8430816,1/30/2016
927.9634869,1/31/2016
801.7749009,2/1/2016
795.678283,2/2/2016
866.3891146,2/3/2016
794.6222897,2/4/2016
852.4056581,2/5/2016
849.2578924,2/6/2016
889.7490578,2/7/2016
785.2355734,2/8/2016
838.5635554,2/9/2016
847.1346973,2/10/2016
948.3864226,2/11/2016
1008.344477,2/12/2016
970.510303,2/13/2016
996.4550928,2/14/2016
797.4873477,2/15/2016
742.3472175,2/16/2016
741.8417111,2/17/2016
791.713132,2/18/2016
784.0771866,2/19/2016
872.5150996,2/20/2016
901.2514316,2/21/2016
764.1122804,2/22/2016
725.2007244,2/23/2016
692.5008076,2/24/2016
651.0672507,2/25/2016
750.1504576,2/26/2016
769.5920415,2/27/2016
803.0986246,2/28/2016
749.9573198,2/29/2016
681.5673731,3/1/2016
754.885615,3/2/2016
692.0841369,3/3/2016
809.7072096,3/4/2016
831.6433361,3/5/2016
910.5959571,3/6/2016
791.2004797,3/7/2016
765.4252851,3/8/2016
770.1610788,3/9/2016
693.922275,3/10/2016
780.7748519,3/11/2016
788.4734472,3/12/2016
861.5751065,3/13/2016
765.8634428,3/14/2016
768.9573198,3/15/2016
761.7981009,3/16/2016
772.3818707,3/17/2016
786.8590867,3/18/2016
861.6468112,3/19/2016
895.3618031,3/20/2016
856.4735451,3/21/2016
787.3368411,3/22/2016
708.9662767,3/23/2016
679.8390191,3/24/2016
721.9998042,3/25/2016
753.3067887,3/26/2016
822.5938035,3/27/2016
770.7952621,3/28/2016
699.7720621,3/29/2016
694.9555577,3/30/2016
687.5907689,3/31/2016
819.5959082,4/1/2016
803.7364299,4/2/2016
899.1227057,4/3/2016
