V1,date
629.9996006,7/1/2015
640.9028758,7/2/2015
594.0262948,7/3/2015
558.7281321,7/4/2015
595.0291572,7/5/2015
640.9862868,7/6/2015
626.2934363,7/7/2015
623.360205,7/8/2015
638.5507256,7/9/2015
731.2522966,7/10/2015
673.282519,7/11/2015
744.739116,7/12/2015
768.1039143,7/13/2015
744.5339502,7/14/2015
712.5876714,7/15/2015
726.6602982,7/16/2015
717.6129676,7/17/2015
643.3536813,7/18/2015
712.591599,7/19/2015
731.1603648,7/20/2015
711.5857409,7/21/2015
694.5234989,7/22/2015
624.12728,7/23/2015
553.7879776,7/24/2015
504.9973372,7/25/2015
564.2583544,7/26/2015
609.7921049,7/27/2015
587.527493,7/28/2015
576.0237651,7/29/2015
561.9346292,7/30/2015
551.9650513,7/31/2015
494.4137265,8/1/2015
551.7526295,8/2/2015
700.3046865,8/3/2015
736.6869924,8/4/2015
704.4996672,8/5/2015
708.2560245,8/6/2015
708.1208894,8/7/2015
648.5468646,8/8/2015
677.8803089,8/9/2015
673.4167887,8/10/2015
704.218879,8/11/2015
723.9679137,8/12/2015
739.417521,8/13/2015
746.2390494,8/14/2015
689.8176009,8/15/2015
718.2038344,8/16/2015
758.3407669,8/17/2015
773.9482759,8/18/2015
687.2875116,8/19/2015
589.6736786,8/20/2015
652.8169352,8/21/2015
660.9658501,8/22/2015
733.7580881,8/23/2015
833.4538011,8/24/2015
908.1083078,8/25/2015
744.1873253,8/26/2015
764.0263613,8/27/2015
746.2942351,8/28/2015
707.4627213,8/29/2015
762.9442152,8/30/2015
712.3377047,8/31/2015
685.5848089,9/1/2015
767.6330049,9/2/2015
789.5854081,9/3/2015
789.7357875,9/4/2015
768.0489948,9/5/2015
847.4480762,9/6/2015
803.4416855,9/7/2015
837.0617761,9/8/2015
855.9418187,9/9/2015
795.2696711,9/10/2015
771.048196,9/11/2015
738.3010917,9/12/2015
846.0894022,9/13/2015
822.1999734,9/14/2015
818.7152177,9/15/2015
885.7889096,9/16/2015
873.2458394,9/17/2015
848.4224471,9/18/2015
838.6481161,9/19/2015
964.6053788,9/20/2015
945.130209,9/21/2015
912.7610172,9/22/2015
932.5750899,9/23/2015
903.4159899,9/24/2015
856.5123153,9/25/2015
829.377513,9/26/2015
918.0623086,9/27/2015
903.8554121,9/28/2015
901.2624817,9/29/2015
915.2413127,9/30/2015
878.6855279,10/1/2015
886.3232592,10/2/2015
910.9107975,10/3/2015
910.8437625,10/4/2015
857.9661164,10/5/2015
857.2086939,10/6/2015
890.0771535,10/7/2015
887.3760485,10/8/2015
847.9894821,10/9/2015
817.2895087,10/10/2015
902.7451072,10/11/2015
900.2981627,10/12/2015
