V1,date
240.5820419,7/1/2015
240.9419583,7/2/2015
239.344071,7/3/2015
241.6534912,7/4/2015
257.7796738,7/5/2015
259.1148645,7/6/2015
258.8322596,7/7/2015
265.5895293,7/8/2015
263.9644205,7/9/2015
274.4145917,7/10/2015
256.0630333,7/11/2015
288.4863892,7/12/2015
264.7279006,7/13/2015
250.0423124,7/14/2015
245.2148703,7/15/2015
244.5992222,7/16/2015
245.6535492,7/17/2015
256.0051077,7/18/2015
288.6247606,7/19/2015
271.4350804,7/20/2015
267.0367984,7/21/2015
270.3589878,7/22/2015
240.6099019,7/23/2015
208.9753903,7/24/2015
201.0560683,7/25/2015
217.0771374,7/26/2015
217.0701143,7/27/2015
214.2863196,7/28/2015
216.4158686,7/29/2015
208.084973,7/30/2015
196.0847408,7/31/2015
178.2522491,8/1/2015
195.7689941,8/2/2015
217.2203842,8/3/2015
256.0773115,8/4/2015
265.5484358,8/5/2015
259.7486215,8/6/2015
255.3568983,8/7/2015
254.9383017,8/8/2015
264.8498462,8/9/2015
247.7687039,8/10/2015
244.8623832,8/11/2015
252.1262406,8/12/2015
261.048697,8/13/2015
251.5764699,8/14/2015
262.1552034,8/15/2015
279.5394974,8/16/2015
272.954031,8/17/2015
270.5754832,8/18/2015
252.7851878,8/19/2015
215.1356434,8/20/2015
244.0456208,8/21/2015
282.3292124,8/22/2015
309.352313,8/23/2015
279.878867,8/24/2015
269.3938708,8/25/2015
281.0059203,8/26/2015
284.5990481,8/27/2015
275.3791282,8/28/2015
281.5769342,8/29/2015
299.1006443,8/30/2015
271.023681,8/31/2015
252.3650821,9/1/2015
250.8656335,9/2/2015
259.1012827,9/3/2015
243.1441755,9/4/2015
265.3514423,9/5/2015
280.6696848,9/6/2015
248.6714841,9/7/2015
237.3362935,9/8/2015
230.7699228,9/9/2015
219.3094202,9/10/2015
228.974926,9/11/2015
257.9269255,9/12/2015
264.1250798,9/13/2015
226.4288119,9/14/2015
221.2575309,9/15/2015
226.3023971,9/16/2015
220.2153927,9/17/2015
225.5191828,9/18/2015
253.4472691,9/19/2015
280.211678,9/20/2015
245.1054037,9/21/2015
234.9465436,9/22/2015
235.1631551,9/23/2015
251.5749028,9/24/2015
221.8789831,9/25/2015
264.1203204,9/26/2015
277.7889024,9/27/2015
346.7788032,9/28/2015
276.6277207,9/29/2015
234.9118347,9/30/2015
248.9268094,10/1/2015
239.9746938,10/2/2015
275.8659237,10/3/2015
294.0726101,10/4/2015
251.1776656,10/5/2015
246.5030472,10/6/2015
243.9184514,10/7/2015
247.7377677,10/8/2015
270.8146729,10/9/2015
280.5449533,10/10/2015
286.3557374,10/11/2015
244.899704,10/12/2015
240.4192931,10/13/2015
247.0982065,10/14/2015
245.6430437,10/15/2015
250.4690928,10/16/2015
280.8488595,10/17/2015
307.2650763,10/18/2015
267.7309188,10/19/2015
265.6808288,10/20/2015
280.8221603,10/21/2015
266.2766847,10/22/2015
268.3242788,10/23/2015
295.5932439,10/24/2015
321.6536073,10/25/2015
272.7551802,10/26/2015
265.1052296,10/27/2015
263.9980266,10/28/2015
271.4383307,10/29/2015
260.0005224,10/30/2015
286.7084567,10/31/2015
311.3972372,11/1/2015
273.885832,11/2/2015
265.5291659,11/3/2015
273.4572523,11/4/2015
261.984735,11/5/2015
259.321783,11/6/2015
307.8871089,11/7/2015
331.0353474,11/8/2015
284.9754484,11/9/2015
271.0662255,11/10/2015
273.9002844,11/11/2015
265.9857798,11/12/2015
269.2707064,11/13/2015
293.6439724,11/14/2015
319.6568576,11/15/2015
295.9650589,11/16/2015
311.1029079,11/17/2015
282.497243,11/18/2015
271.991642,11/19/2015
271.0081258,11/20/2015
332.352313,11/21/2015
363.0681409,11/22/2015
297.4711823,11/23/2015
278.2801091,11/24/2015
274.3473794,11/25/2015
263.0357537,11/26/2015
254.0944338,11/27/2015
289.8667944,11/28/2015
318.5300366,11/29/2015
281.3916072,11/30/2015
283.3032097,12/1/2015
293.289628,12/2/2015
284.7579082,12/3/2015
276.1161414,12/4/2015
305.2258402,12/5/2015
338.47629,12/6/2015
296.7774682,12/7/2015
282.5507574,12/8/2015
286.3474375,12/9/2015
279.8010912,12/10/2015
278.1329154,12/11/2015
315.6620814,12/12/2015
348.2397121,12/13/2015
305.8831041,12/14/2015
291.5558651,12/15/2015
278.8544315,12/16/2015
265.4155784,12/17/2015
263.2353009,12/18/2015
295.5144814,12/19/2015
328.788322,12/20/2015
298.5647455,12/21/2015
296.867723,12/22/2015
298.143479,12/23/2015
278.7493761,12/24/2015
286.1081316,12/25/2015
330.5811132,12/26/2015
370.662894,12/27/2015
327.8324917,12/28/2015
307.4661327,12/29/2015
304.6959777,12/30/2015
306.2746532,12/31/2015
455.4699054,1/1/2016
380.4537118,1/2/2016
417.338441,1/3/2016
340.2874804,1/4/2016
332.3061118,1/5/2016
340.0163678,1/6/2016
334.3812758,1/7/2016
330.0193859,1/8/2016
356.8668524,1/9/2016
372.4116316,1/10/2016
378.1540426,1/11/2016
353.0341865,1/12/2016
346.9313947,1/13/2016
362.2838818,1/14/2016
419.0834059,1/15/2016
633.9674967,1/16/2016
499.1831795,1/17/2016
386.1494573,1/18/2016
349.493064,1/19/2016
349.020895,1/20/2016
347.873295,1/21/2016
339.1589761,1/22/2016
357.721458,1/23/2016
342.7183818,1/24/2016
318.1817865,1/25/2016
315.9885658,1/26/2016
332.7331244,1/27/2016
336.1007603,1/28/2016
337.0720878,1/29/2016
340.8322015,1/30/2016
334.3910848,1/31/2016
347.9168843,2/1/2016
324.8442161,2/2/2016
322.2820825,2/3/2016
311.0108538,2/4/2016
318.8056765,2/5/2016
323.7276104,2/6/2016
284.1242672,2/7/2016
318.619827,2/8/2016
340.8805502,2/9/2016
335.009809,2/10/2016
360.1625167,2/11/2016
384.9698183,2/12/2016
398.8434616,2/13/2016
421.1770851,2/14/2016
354.12537,2/15/2016
